,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
4991,Jan,3,Monday,Honda,Urban,Monday,Jan,3,Female,Married,61,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4992,2,700,1,more than 30,more than 30,1,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
5497,Aug,1,Thursday,Pontiac,Urban,Thursday,Sep,1,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,5498,8,400,4,more than 30,more than 30,none,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
13991,Jul,5,Saturday,Mazda,Urban,Tuesday,Aug,1,Male,Married,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,13992,8,400,2,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
9295,Aug,2,Wednesday,Mazda,Urban,Thursday,Aug,3,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,9296,9,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils
2307,Jan,4,Saturday,Pontiac,Urban,Tuesday,Jan,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2308,15,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
14944,Nov,4,Tuesday,Toyota,Rural,Wednesday,Nov,4,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14945,8,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
5545,Nov,1,Wednesday,Pontiac,Urban,Thursday,Nov,1,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5546,16,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
7911,Jan,1,Tuesday,Toyota,Urban,Thursday,Jan,1,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7912,14,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
12752,Nov,4,Monday,Pontiac,Urban,Monday,Nov,4,Male,Single,63,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12753,1,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
8300,Dec,4,Wednesday,Honda,Urban,Friday,Dec,5,Male,Married,78,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8301,4,400,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,Liability
102,Jan,4,Friday,Ford,Urban,Monday,Feb,1,Female,Married,37,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,103,14,500,2,more than 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1994,All Perils
1575,Dec,3,Monday,Honda,Urban,Thursday,Dec,5,Female,Married,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1576,13,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,Yes,No,External,more than 5,4 to 8 years,2 vehicles,1994,Collision
14450,Mar,3,Sunday,Pontiac,Urban,Thursday,Mar,4,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14451,9,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
5209,Jul,3,Tuesday,Pontiac,Urban,Tuesday,Jul,3,Male,Married,47,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,5210,12,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
9028,Mar,2,Sunday,Pontiac,Urban,Monday,Mar,2,Male,Single,34,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9029,1,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability
7696,Nov,1,Thursday,Accura,Urban,Monday,Nov,4,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,more than 69000,1,7697,6,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision
975,Oct,4,Tuesday,Toyota,Urban,Wednesday,Oct,4,Male,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,976,4,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
1513,Apr,1,Tuesday,Pontiac,Urban,Friday,Apr,4,Female,Married,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1514,1,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
14368,Oct,2,Tuesday,Pontiac,Urban,Monday,Oct,5,Male,Single,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14369,7,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision
4367,Sep,2,Monday,Ford,Urban,Friday,Sep,3,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,4368,4,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
14449,Mar,3,Tuesday,Pontiac,Urban,Thursday,Mar,3,Male,Married,58,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,14450,2,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
6294,Dec,2,Saturday,Pontiac,Urban,Tuesday,Dec,2,Male,Married,54,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6295,8,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
10767,Mar,2,Sunday,Toyota,Urban,Monday,Mar,2,Male,Married,32,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,10768,7,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
7532,Nov,3,Friday,Mazda,Urban,Tuesday,Nov,4,Male,Single,33,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,7533,9,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability
120,Feb,1,Friday,Honda,Rural,Friday,Mar,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,121,8,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
12965,Jul,2,Sunday,Pontiac,Urban,Thursday,Sep,2,Male,Married,36,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12966,16,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
8861,Nov,5,Wednesday,Pontiac,Urban,Friday,Dec,1,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8862,4,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
1630,Nov,2,Wednesday,Pontiac,Urban,Monday,Nov,3,Male,Married,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1631,11,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
3417,Jun,1,Sunday,Mazda,Urban,Tuesday,Jun,2,Male,Married,33,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3418,11,400,4,more than 30,more than 30,none,4 years,31 to 35,No,No,External,3 to 5,2 to 3 years,1 vehicle,1994,All Perils
5625,Apr,2,Saturday,Mazda,Urban,Monday,Apr,4,Male,Married,27,Third Party,Sedan - Liability,Sport,20000 to 29000,0,5626,11,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
12001,Feb,4,Monday,Mazda,Urban,Tuesday,Feb,5,Male,Married,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12002,6,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
14764,Nov,5,Tuesday,Pontiac,Urban,Friday,Dec,1,Male,Married,49,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14765,9,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
12588,Oct,2,Wednesday,Toyota,Urban,Friday,Oct,3,Male,Single,35,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,12589,5,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
6654,May,5,Tuesday,Dodge,Urban,Wednesday,May,5,Female,Single,31,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,6655,9,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
13040,Dec,2,Saturday,Pontiac,Urban,Thursday,Dec,3,Female,Single,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,13041,2,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1996,All Perils
14444,Aug,1,Wednesday,Toyota,Urban,Friday,Aug,1,Male,Single,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14445,13,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
8274,Sep,1,Monday,VW,Urban,Tuesday,Sep,1,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,8275,13,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,Collision
10853,Jun,4,Thursday,Mazda,Urban,Friday,Jun,4,Male,Married,34,Policy Holder,Sport - Collision,Sport,more than 69000,0,10854,7,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
5806,Oct,4,Sunday,Honda,Urban,Monday,Oct,4,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5807,12,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision
5356,Jan,1,Thursday,Pontiac,Urban,Monday,Jan,2,Male,Single,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,5357,8,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
14180,Nov,3,Saturday,Honda,Urban,Monday,Nov,3,Female,Single,43,Policy Holder,Sedan - Liability,Sport,more than 69000,0,14181,8,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
5565,Mar,3,Friday,Toyota,Rural,Tuesday,Mar,4,Male,Married,28,Third Party,Sedan - Liability,Sport,30000 to 39000,0,5566,6,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994,Liability
4622,Jul,3,Monday,Ford,Rural,Friday,Aug,1,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,60000 to 69000,0,4623,6,400,2,more than 30,more than 30,none,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
1754,Jan,1,Wednesday,Pontiac,Rural,Thursday,Jan,1,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1755,4,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision
5735,Jul,2,Saturday,Toyota,Urban,Wednesday,Jul,2,Male,Married,49,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5736,2,700,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
9326,Jan,3,Monday,Toyota,Urban,Tuesday,Jan,3,Male,Married,43,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,9327,13,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
8105,Sep,3,Saturday,Pontiac,Urban,Tuesday,Sep,3,Male,Single,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8106,12,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
13356,Oct,1,Sunday,Honda,Rural,Friday,Oct,1,Male,Married,56,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,13357,11,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,4 to 8 years,2 vehicles,1996,All Perils
2171,Feb,4,Friday,Chevrolet,Urban,Monday,Feb,5,Male,Married,38,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,2172,14,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
2594,Jul,2,Sunday,Toyota,Urban,Wednesday,Jul,2,Male,Single,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2595,13,400,2,more than 30,more than 30,1,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
6713,Sep,4,Wednesday,Toyota,Urban,Tuesday,Oct,1,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6714,9,400,4,more than 30,more than 30,none,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
4612,May,3,Sunday,Chevrolet,Urban,Monday,May,3,Female,Single,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4613,8,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
2073,Jun,5,Thursday,Toyota,Urban,Friday,Jul,1,Male,Single,18,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,2074,16,400,4,more than 30,more than 30,1,2 years,21 to 25,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
749,Mar,4,Tuesday,Toyota,Rural,Thursday,Mar,4,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,750,14,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
8896,Nov,1,Monday,Chevrolet,Urban,Friday,Nov,2,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,8897,8,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
15251,Jun,5,Tuesday,Pontiac,Urban,Friday,Jul,4,Male,Divorced,37,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,15252,15,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
2262,Jul,2,Saturday,Honda,Urban,Tuesday,Jul,2,Male,Married,41,Policy Holder,Sport - Collision,Sport,more than 69000,0,2263,12,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
7959,Nov,2,Friday,Toyota,Urban,Friday,Nov,3,Female,Married,49,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,7960,2,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,4 to 8 years,2 vehicles,1995,All Perils
11172,Aug,3,Tuesday,Mazda,Urban,Monday,Aug,4,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11173,8,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1995,Collision
14605,Mar,5,Friday,Toyota,Urban,Friday,Apr,2,Male,Married,28,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,14606,2,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability
9530,May,5,Sunday,Mazda,Urban,Tuesday,May,5,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9531,1,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
6681,Jan,2,Friday,Toyota,Urban,Friday,Jan,3,Male,Married,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6682,5,500,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,2 to 3 years,1 vehicle,1995,Liability
13791,Feb,4,Friday,Saab,Urban,Friday,Feb,4,Male,Married,23,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,13792,10,400,1,more than 30,more than 30,more than 4,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1996,Liability
8084,May,3,Monday,Accura,Urban,Wednesday,May,3,Male,Married,40,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8085,5,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,Internal,more than 5,no change,1 vehicle,1995,Liability
661,Jan,2,Sunday,Pontiac,Urban,Wednesday,Jan,4,Male,Married,71,Third Party,Sedan - Collision,Sedan,less than 20000,0,662,2,400,3,more than 30,more than 30,2 to 4,7 years,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
14083,Aug,3,Wednesday,Accura,Urban,Thursday,Sep,3,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,14084,5,400,4,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision
13789,Feb,2,Monday,Toyota,Rural,Monday,Feb,2,Male,Married,34,Third Party,Sedan - Liability,Sport,20000 to 29000,0,13790,14,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,Internal,none,no change,1 vehicle,1996,Liability
10866,Jul,1,Monday,Mazda,Urban,Tuesday,Jul,1,Male,Single,25,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,10867,1,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
4201,Sep,1,Sunday,Mazda,Rural,Monday,Sep,1,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4202,7,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
10104,Aug,1,Tuesday,Mazda,Urban,Thursday,Aug,1,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,10105,5,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
976,Oct,2,Thursday,Mazda,Rural,Monday,Oct,3,Male,Married,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,977,5,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
8162,May,1,Friday,Ford,Rural,Friday,May,1,Male,Married,53,Third Party,Sedan - Collision,Sedan,40000 to 59000,0,8163,11,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
7450,Jul,2,Monday,Pontiac,Rural,Monday,Jul,3,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7451,14,400,1,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,External,1 to 2,no change,1 vehicle,1995,Collision
13902,Apr,3,Tuesday,Pontiac,Urban,Thursday,Apr,4,Male,Married,49,Third Party,Sedan - Liability,Sport,20000 to 29000,0,13903,13,400,1,more than 30,more than 30,2 to 4,5 years,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1996,Liability
3454,Feb,1,Wednesday,Pontiac,Urban,Friday,Feb,1,Male,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3455,6,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
2241,Feb,5,Monday,Honda,Urban,Monday,Feb,5,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,2242,2,400,3,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
8472,Jan,4,Friday,Chevrolet,Urban,Monday,Jan,5,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8473,1,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
14507,Jun,1,Wednesday,VW,Urban,Tuesday,Jun,2,Male,Married,41,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,14508,7,400,4,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability
8846,Apr,4,Tuesday,Pontiac,Urban,Tuesday,Apr,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8847,14,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability
12610,Mar,3,Wednesday,Toyota,Urban,Monday,Mar,4,Male,Married,53,Third Party,Sedan - Liability,Sport,30000 to 39000,0,12611,10,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability
3216,Apr,5,Friday,Pontiac,Urban,Friday,May,1,Female,Married,45,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3217,5,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
11666,Feb,3,Monday,Toyota,Urban,Wednesday,May,4,Male,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11667,15,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
5408,Apr,2,Monday,Toyota,Urban,Wednesday,Apr,3,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,5409,13,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
6631,Oct,2,Tuesday,Honda,Urban,Monday,Oct,3,Male,Married,26,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,6632,12,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
706,Jun,1,Tuesday,Toyota,Urban,Wednesday,Jun,2,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,707,16,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
